"datazone","median_price","number_of_sales"
"S01001023",190000,7
"S01001024",155000,29
"S01001025",140000,37
"S01001026",160557,9
"S01001027",140000,5
"S01001028",83500,8
"S01001029",85000,3
"S01001030",180000,15
"S01001031",89475,6
"S01001032",83500,3
"S01001033",76000,5
"S01001034",71950,1
"S01001035",77000,1
"S01001036",78000,1
"S01001038",155000,17
"S01001039",225000,3
"S01001040",153000,14
"S01001041",160000,6
"S01001042",122000,18
"S01001043",117500,6
"S01001044",66000,7
"S01001045",98500,7
"S01001046",145100,9
"S01001047",178750,12
"S01001048",106000,7
"S01001049",90000,3
"S01001050",150250,8
"S01001051",86000,2
"S01001052",84000,5
"S01001053",130000,5
"S01001054",127500,4
"S01001055",124000,5
"S01001056",94000,4
"S01001057",146000,2
"S01001058",94025,6
"S01001059",175000,1
"S01001060",110000,2
"S01001061",81000,9
"S01001062",154250,2
"S01001063",97500,3
"S01001064",65500,10
"S01001065",72000,9
"S01001066",304500,4
"S01001067",155000,8
"S01001068",145000,11
"S01001069",110000,5
"S01001070",166000,6
"S01001071",110110,3
"S01001072",342500,2
"S01001073",165000,8
"S01001074",286000,4
"S01001075",103000,6
"S01001076",106120,7
"S01001077",125000,9
"S01001078",257475,8
"S01001079",332498,4
"S01001080",130000,15
"S01001081",220000,7
"S01001082",82498,14
"S01001083",119000,6
"S01001084",190250,20
"S01001085",110000,1
"S01001086",80000,1
"S01001087",62250,1
"S01001088",42000,1
"S01001089",81000,5
"S01001090",166000,21
"S01001091",115000,13
"S01001092",126500,16
"S01001093",166063,12
"S01001094",185000,11
"S01001095",125500,6
"S01001096",118000,9
"S01001097",180000,11
"S01001098",224000,10
"S01001099",75000,17
"S01001100",103000,19
"S01001101",125000,27
"S01001102",114452,5
"S01001103",185000,8
"S01001104",87000,11
"S01001105",222500,4
"S01001106",230000,13
"S01001107",87250,18
"S01001108",92250,24
"S01001109",157000,25
"S01001110",75000,13
"S01001111",65300,9
"S01001112",143250,20
"S01001113",89000,11
"S01001114",103100,5
"S01001115",82500,9
"S01001116",115500,4
"S01001117",98000,8
"S01001118",94500,10
"S01001119",116883,24
"S01001120",246475,14
"S01001121",71000,10
"S01001122",93500,18
"S01001123",185000,19
"S01001124",106250,16
"S01001125",83625,4
"S01001126",144500,14
"S01001127",105000,17
"S01001128",160000,3
"S01001129",66000,12
"S01001130",73000,6
"S01001131",109000,9
"S01001132",92500,9
"S01001133",115000,12
"S01001134",215000,14
"S01001135",50000,3
"S01001136",53000,13
"S01001137",53500,4
"S01001138",90000,43
"S01001139",98000,13
"S01001140",87003,16
"S01001141",55000,3
"S01001142",185000,19
"S01001143",190500,12
"S01001144",72000,3
"S01001145",74000,5
"S01001146",153750,8
"S01001147",60000,7
"S01001148",151539,5
"S01001149",79000,6
"S01001150",75000,4
"S01001151",49750,3
"S01001152",79000,11
"S01001153",102000,5
"S01001154",202504,2
"S01001155",189000,8
"S01001156",70000,6
"S01001157",195500,6
"S01001158",109178,6
"S01001159",110000,20
"S01001160",108250,4
"S01001161",87000,6
"S01001162",172500,10
"S01001163",78000,3
"S01001164",65000,9
"S01001165",60000,6
"S01001166",54500,2
"S01001167",167500,6
"S01001168",58625,10
"S01001169",60000,8
"S01001170",48625,4
"S01001171",97000,9
"S01001172",1e+05,7
"S01001173",68000,13
"S01001174",63500,5
"S01001175",86500,3
"S01001176",109000,13
"S01001177",86351,14
"S01001178",75500,6
"S01001179",155000,5
"S01001180",81000,4
"S01001181",156288,18
"S01001182",74500,6
"S01001183",79250,7
"S01001184",142500,9
"S01001185",186500,6
"S01001186",150000,8
"S01001187",80000,3
"S01001188",60000,15
"S01001189",85000,11
"S01001190",162250,8
"S01001191",80000,5
"S01001192",65500,12
"S01001193",170500,13
"S01001194",140000,15
"S01001195",89105,12
"S01001196",75000,11
"S01001197",84000,2
"S01001198",81550,5
"S01001199",88000,2
"S01001200",73000,4
"S01001201",71500,4
"S01001202",76500,4
"S01001203",78046,4
"S01001204",185000,7
"S01001205",105000,9
"S01001206",76500,14
"S01001207",63557,5
"S01001208",86100,2
"S01001209",114500,9
"S01001210",77325,6
"S01001211",125000,5
"S01001213",75000,2
"S01001214",83000,15
"S01001215",108000,11
"S01001216",82000,7
"S01001217",97500,6
"S01001218",130000,11
"S01001219",182000,7
"S01001220",76500,1
"S01001221",188950,16
"S01001222",110000,5
"S01001223",90000,11
"S01001224",67500,4
"S01001225",135000,11
"S01001226",32500,6
"S01001227",137500,6
"S01001228",158000,5
"S01001229",128000,11
"S01001230",58500,2
"S01001231",71500,2
"S01001232",215000,57
"S01001233",78000,5
"S01001235",99000,7
"S01001236",89000,4
"S01001237",70000,5
"S01001238",76000,3
"S01001239",67500,6
"S01001240",81250,6
"S01001241",72000,5
"S01001242",110000,8
"S01001243",174000,12
"S01001244",42000,19
"S01001245",78500,3
"S01001246",121500,10
"S01001247",94700,5
"S01001248",117250,22
"S01001249",78000,3
"S01001250",86500,6
"S01001251",165398,2
"S01001252",72500,5
"S01001254",87500,6
"S01001255",91050,7
"S01001256",79500,5
"S01001257",80750,8
"S01001259",96000,4
"S01001260",61510,1
"S01001261",88500,5
"S01001262",161500,4
"S01001263",110000,3
"S01001264",183000,32
"S01001265",157000,5
"S01001266",117475,4
"S01001267",91590,13
"S01001268",104000,5
"S01001269",1e+05,3
"S01001271",62500,2
"S01001272",46250,4
"S01001273",53000,3
"S01001274",65000,5
"S01001275",125000,2
