"datazone","lt_mean","lt_med"
"S01005991",0.909251407926791,0.854494997358107
"S01005992",0.514599203036608,0.449100887053716
"S01005993",0.852138029363247,0.760306692471762
"S01005994",0.684497602996198,0.639713722189077
"S01005995",0.535218798211217,0.465226093728375
"S01005996",0.946644970044234,0.913877165882328
"S01005997",0.698619856671879,0.719556321720375
"S01005998",0.622459019250495,0.619338722276287
"S01005999",1.1676427406632,1.14668998633897
"S01006000",0.457248753521164,0.435970303958618
"S01006001",1.145621583296,1.1465116811853
"S01006002",1.14468662747826,1.10900791274512
"S01006003",0.629121544105418,0.635877564964952
"S01006004",1.09992376001667,1.11543989613833
"S01006005",0.971086186375834,0.97481879796466
"S01006006",1.28457383551094,1.24127440197641
"S01006007",0.408735772493631,0.390148615422105
"S01006008",0.654212799338088,0.602255123137454
"S01006009",0.91845268078184,0.710700111780335
"S01006010",1.47646950279665,1.53631403806413
"S01006011",0.708732407456795,0.640187989427805
"S01006012",0.690074508459568,0.685792523862183
"S01006013",2.34176511488468,2.30540865447063
"S01006014",0.924872002156502,0.862161859408332
"S01006015",1.15304280411666,1.03640278048301
"S01006016",1.01492496117172,0.978242651972758
"S01006017",1.13527471090897,1.13327253432308
"S01006018",1.18440861822403,1.20443534180594
"S01006019",0.935999839392653,0.93783480209763
"S01006020",1.55200228494916,1.53604482568256
"S01006021",1.28564020190821,1.09272030080558
"S01006022",0.588215292241035,0.604305056563191
"S01006023",1.85324222467727,1.82757637186654
"S01006024",0.532869712440518,0.510462476680215
"S01006025",0.765932475893754,0.688975095322562
"S01006026",0.684731613542741,0.684761756652773
"S01006027",1.10819648651639,1.09642272434987
"S01006028",0.863305779829843,0.675128915747839
"S01006029",1.38077046954283,1.35250074193983
"S01006030",1.30844826616343,1.16919075243391
"S01006031",1.0750619890213,0.94158356865792
"S01006032",1.00476260914402,0.952028736354065
"S01006033",0.779378720295724,0.790673924117523
"S01006034",0.881660137318066,0.869461215067735
"S01006035",0.869816598119035,0.808329423669302
"S01006036",1.11361426014132,1.14259883421256
